port_name,country,event_type,impact_days,notes
Paradip,India,cyclone,3,Cyclone Yaas landfall near Odisha–West Bengal; Paradip recorded ~200 mm rain; port operations disrupted. [web:119][web:127][web:131]
Haldia Dock Complex,India,cyclone,2,Cyclone Yaas caused tidal surge at Haldia; operations suspended temporarily. [web:125][web:127][web:128]
Haldia Dock Complex,India,cyclone,2,Cyclone Remal landfall near West Bengal/Bangladesh; Kolkata/Haldia ports stopped loading/unloading. [web:120][web:122][web:125]
Paradip,India,severe_weather,1,Cyclone Remal brought squally winds to Bay of Bengal; precautionary slow-down at Odisha ports. [web:120][web:122]
Haldia Dock Complex,India,cyclone,3,Super Cyclone Amphan; Haldia operations suspended; post-landfall damage control. [web:123][web:129][web:133]
Paradip,India,cyclone,3,"Extremely Severe Cyclone Fani; Paradip port operations suspended, vessels vacated berths. [web:134][web:135][web:137][web:143]"
Visakhapatnam (Inner),India,cyclone,2,Cyclone Fani precautionary shutdowns; ships ordered to move out to sea. [web:142]
Gangavaram,India,severe_weather,1,Cyclone Fani regional impact; precautionary measures at Andhra ports. [web:142][web:144]
Taboneo Anchorage,Indonesia,severe_weather,7,Peak rainy season (Nov–Feb); documented coal loading delays at Taboneo due to bad weather. [web:86][web:90][web:95]
Taboneo Anchorage,Indonesia,severe_weather,5,Rainy season disruptions; vessel queues reported at South Kalimantan anchorage. [web:86][web:90]
Taboneo Anchorage,Indonesia,severe_weather,6,Monsoon rains (Oct–Apr); intermittent barge delays to mother vessels. [web:90][web:93]
Hay Point / Dalrymple Bay,Australia,severe_weather,4,Wet weather disrupted Queensland coal exports; rail/port impacts in 2022–23 season. [web:138][web:139]
Gladstone,Australia,severe_weather,5,Flooding in northern Queensland cut deliveries to Hay Point/DBCT/Gladstone; shipments fell in Jan–Feb 2023. [web:139][web:141]
Newcastle (Kooragang Bay),Australia,severe_weather,3,Weather interruptions disrupted December coal export surge; ship queues remained high. [web:140][web:145]
Richards Bay Coal Terminal,South Africa,strike,12,12-day Transnet strike on coal export line; RBCT exports hit 29-year low in 2022. [web:149][web:155][web:156]
Richards Bay Coal Terminal,South Africa,port_closure,10,Train derailment blocked coal line for ~10 days; force majeure declared. [web:149][web:153][web:155]
Richards Bay Coal Terminal,South Africa,strike,14,RBCT workers’ strike (~3 weeks); terminal operational but with disruption risk. [web:157][web:158]
Richards Bay Coal Terminal,South Africa,port_closure,5,Train collision/derailment closed coal export line for ~5 days. [web:153][web:154]
Maputo (Matola),Mozambique,cyclone,3,Cyclone Freddy struck Mozambique; heavy rains/flooding in Maputo province. [web:151][web:152][web:161]
Maputo (Matola),Mozambique,severe_weather,2,Heavy rains caused large-scale flooding in Maputo province/city. [web:152][web:160]
Baltimore / Norfolk,USA,severe_weather,2,Hurricane Ida aftermath; US East Coast ports faced weather-related delays. [web:148]
Baltimore / Norfolk,USA,severe_weather,2,Atlantic hurricane season peak; precautionary slow-downs at US East Coast ports. [web:81][web:82][web:87]
